entidad,region,informalidad_2024,participacion_2024,tasa_desocupacion,anio,trimestre,periodo_label
Campeche,Sur-Sureste,58.3,58.4,2.2,2021,T3,2021-T3
Campeche,Sur-Sureste,58.3,58.4,2.1,2021,T4,2021-T4
Campeche,Sur-Sureste,58.3,58.4,2.0,2022,T1,2022-T1
Campeche,Sur-Sureste,58.3,58.4,1.9,2022,T2,2022-T2
Campeche,Sur-Sureste,58.3,58.4,1.8,2022,T3,2022-T3
Campeche,Sur-Sureste,58.3,58.4,1.7,2022,T4,2022-T4
Campeche,Sur-Sureste,58.3,58.4,1.8,2023,T1,2023-T1
Campeche,Sur-Sureste,58.3,58.4,1.9,2023,T2,2023-T2
Campeche,Sur-Sureste,58.3,58.4,1.8,2023,T3,2023-T3
Campeche,Sur-Sureste,58.3,58.4,1.7,2023,T4,2023-T4
Campeche,Sur-Sureste,58.3,58.4,1.9,2024,T1,2024-T1
Campeche,Sur-Sureste,58.3,58.4,2.0,2024,T2,2024-T2
Campeche,Sur-Sureste,58.3,58.4,1.9,2024,T3,2024-T3
Campeche,Sur-Sureste,58.3,58.4,1.8,2024,T4,2024-T4
Chiapas,Sur-Sureste,78.4,54.2,1.8,2020,T1,2020-T1
Chiapas,Sur-Sureste,78.4,54.2,2.9,2020,T2,2020-T2
Chiapas,Sur-Sureste,78.4,54.2,2.5,2020,T3,2020-T3
Chiapas,Sur-Sureste,78.4,54.2,2.2,2020,T4,2020-T4
Chiapas,Sur-Sureste,78.4,54.2,2.1,2021,T1,2021-T1
Chiapas,Sur-Sureste,78.4,54.2,1.9,2021,T2,2021-T2
Chiapas,Sur-Sureste,78.4,54.2,1.7,2021,T3,2021-T3
Chiapas,Sur-Sureste,78.4,54.2,1.6,2021,T4,2021-T4
Chiapas,Sur-Sureste,78.4,54.2,1.5,2022,T1,2022-T1
Chiapas,Sur-Sureste,78.4,54.2,1.4,2022,T2,2022-T2
Chiapas,Sur-Sureste,78.4,54.2,1.3,2022,T3,2022-T3
Chiapas,Sur-Sureste,78.4,54.2,1.2,2022,T4,2022-T4
Chiapas,Sur-Sureste,78.4,54.2,1.3,2023,T1,2023-T1
Chiapas,Sur-Sureste,78.4,54.2,1.4,2023,T2,2023-T2
Chiapas,Sur-Sureste,78.4,54.2,1.3,2023,T3,2023-T3
Chiapas,Sur-Sureste,78.4,54.2,1.2,2023,T4,2023-T4
Chiapas,Sur-Sureste,78.4,54.2,1.4,2024,T1,2024-T1
Chiapas,Sur-Sureste,78.4,54.2,1.5,2024,T2,2024-T2
Chiapas,Sur-Sureste,78.4,54.2,1.4,2024,T3,2024-T3
Chiapas,Sur-Sureste,78.4,54.2,1.3,2024,T4,2024-T4
Chihuahua,Norte,36.1,62.0,3.1,2020,T1,2020-T1
Chihuahua,Norte,36.1,62.0,5.1,2020,T2,2020-T2
Chihuahua,Norte,36.1,62.0,4.3,2020,T3,2020-T3
Chihuahua,Norte,36.1,62.0,3.8,2020,T4,2020-T4
Chihuahua,Norte,36.1,62.0,3.5,2021,T1,2021-T1
Chihuahua,Norte,36.1,62.0,3.2,2021,T2,2021-T2
Chihuahua,Norte,36.1,62.0,2.9,2021,T3,2021-T3
Chihuahua,Norte,36.1,62.0,2.7,2021,T4,2021-T4
Chihuahua,Norte,36.1,62.0,2.6,2022,T1,2022-T1
Chihuahua,Norte,36.1,62.0,2.5,2022,T2,2022-T2
Chihuahua,Norte,36.1,62.0,2.4,2022,T3,2022-T3
Chihuahua,Norte,36.1,62.0,2.3,2022,T4,2022-T4
Chihuahua,Norte,36.1,62.0,2.4,2023,T1,2023-T1
Chihuahua,Norte,36.1,62.0,2.5,2023,T2,2023-T2
Chihuahua,Norte,36.1,62.0,2.4,2023,T3,2023-T3
Chihuahua,Norte,36.1,62.0,2.3,2023,T4,2023-T4
Chihuahua,Norte,36.1,62.0,2.5,2024,T1,2024-T1
Chihuahua,Norte,36.1,62.0,2.6,2024,T2,2024-T2
Chihuahua,Norte,36.1,62.0,2.5,2024,T3,2024-T3
Chihuahua,Norte,36.1,62.0,2.4,2024,T4,2024-T4
Ciudad de México,Centro,42.5,62.9,4.5,2020,T1,2020-T1
Ciudad de México,Centro,42.5,62.9,7.5,2020,T2,2020-T2
Ciudad de México,Centro,42.5,62.9,6.4,2020,T3,2020-T3
Ciudad de México,Centro,42.5,62.9,5.6,2020,T4,2020-T4
Ciudad de México,Centro,42.5,62.9,5.2,2021,T1,2021-T1
Ciudad de México,Centro,42.5,62.9,4.8,2021,T2,2021-T2
Ciudad de México,Centro,42.5,62.9,4.4,2021,T3,2021-T3
Ciudad de México,Centro,42.5,62.9,4.1,2021,T4,2021-T4
Ciudad de México,Centro,42.5,62.9,3.9,2022,T1,2022-T1
Ciudad de México,Centro,42.5,62.9,3.8,2022,T2,2022-T2
Ciudad de México,Centro,42.5,62.9,3.7,2022,T3,2022-T3
Ciudad de México,Centro,42.5,62.9,3.6,2022,T4,2022-T4
Ciudad de México,Centro,42.5,62.9,3.7,2023,T1,2023-T1
Ciudad de México,Centro,42.5,62.9,3.9,2023,T2,2023-T2
Ciudad de México,Centro,42.5,62.9,3.8,2023,T3,2023-T3
Ciudad de México,Centro,42.5,62.9,3.7,2023,T4,2023-T4
Ciudad de México,Centro,42.5,62.9,3.9,2024,T1,2024-T1
Ciudad de México,Centro,42.5,62.9,4.0,2024,T2,2024-T2
Ciudad de México,Centro,42.5,62.9,3.9,2024,T3,2024-T3
Ciudad de México,Centro,42.5,62.9,4.0,2024,T4,2024-T4
Coahuila,Norte,35.8,62.8,3.8,2020,T1,2020-T1
Coahuila,Norte,35.8,62.8,6.2,2020,T2,2020-T2
Coahuila,Norte,35.8,62.8,5.3,2020,T3,2020-T3
Coahuila,Norte,35.8,62.8,4.5,2020,T4,2020-T4
Coahuila,Norte,35.8,62.8,4.2,2021,T1,2021-T1
Coahuila,Norte,35.8,62.8,3.9,2021,T2,2021-T2
Coahuila,Norte,35.8,62.8,3.6,2021,T3,2021-T3
Coahuila,Norte,35.8,62.8,3.4,2021,T4,2021-T4
Coahuila,Norte,35.8,62.8,3.3,2022,T1,2022-T1
Coahuila,Norte,35.8,62.8,3.2,2022,T2,2022-T2
Coahuila,Norte,35.8,62.8,3.1,2022,T3,2022-T3
Coahuila,Norte,35.8,62.8,3.0,2022,T4,2022-T4
Coahuila,Norte,35.8,62.8,3.1,2023,T1,2023-T1
Coahuila,Norte,35.8,62.8,3.3,2023,T2,2023-T2
Coahuila,Norte,35.8,62.8,3.2,2023,T3,2023-T3
Coahuila,Norte,35.8,62.8,3.1,2023,T4,2023-T4
Coahuila,Norte,35.8,62.8,3.3,2024,T1,2024-T1
Coahuila,Norte,35.8,62.8,3.7,2024,T2,2024-T2
Coahuila,Norte,35.8,62.8,3.5,2024,T3,2024-T3
Coahuila,Norte,35.8,62.8,3.5,2024,T4,2024-T4
Colima,Occidente,45.2,65.5,3.2,2020,T1,2020-T1
Colima,Occidente,45.2,65.5,5.4,2020,T2,2020-T2
Colima,Occidente,45.2,65.5,4.6,2020,T3,2020-T3
Colima,Occidente,45.2,65.5,3.9,2020,T4,2020-T4
Colima,Occidente,45.2,65.5,3.6,2021,T1,2021-T1
Colima,Occidente,45.2,65.5,3.3,2021,T2,2021-T2
Colima,Occidente,45.2,65.5,3.0,2021,T3,2021-T3
Colima,Occidente,45.2,65.5,2.8,2021,T4,2021-T4
Colima,Occidente,45.2,65.5,2.7,2022,T1,2022-T1
Colima,Occidente,45.2,65.5,2.6,2022,T2,2022-T2
Colima,Occidente,45.2,65.5,2.5,2022,T3,2022-T3
Colima,Occidente,45.2,65.5,2.4,2022,T4,2022-T4
Colima,Occidente,45.2,65.5,2.5,2023,T1,2023-T1
Colima,Occidente,45.2,65.5,2.6,2023,T2,2023-T2
Colima,Occidente,45.2,65.5,2.5,2023,T3,2023-T3
Colima,Occidente,45.2,65.5,2.4,2023,T4,2023-T4
Colima,Occidente,45.2,65.5,2.6,2024,T1,2024-T1
Colima,Occidente,45.2,65.5,2.7,2024,T2,2024-T2
Colima,Occidente,45.2,65.5,2.6,2024,T3,2024-T3
Colima,Occidente,45.2,65.5,2.5,2024,T4,2024-T4
Durango,Norte,52.3,58.9,2.9,2020,T1,2020-T1
Durango,Norte,52.3,58.9,4.8,2020,T2,2020-T2
Durango,Norte,52.3,58.9,4.1,2020,T3,2020-T3
Durango,Norte,52.3,58.9,3.5,2020,T4,2020-T4
Durango,Norte,52.3,58.9,3.2,2021,T1,2021-T1
Durango,Norte,52.3,58.9,2.9,2021,T2,2021-T2
Durango,Norte,52.3,58.9,2.6,2021,T3,2021-T3
Durango,Norte,52.3,58.9,2.4,2021,T4,2021-T4
Durango,Norte,52.3,58.9,2.3,2022,T1,2022-T1
Durango,Norte,52.3,58.9,2.2,2022,T2,2022-T2
Durango,Norte,52.3,58.9,2.1,2022,T3,2022-T3
Durango,Norte,52.3,58.9,2.0,2022,T4,2022-T4
Durango,Norte,52.3,58.9,2.1,2023,T1,2023-T1
Durango,Norte,52.3,58.9,2.2,2023,T2,2023-T2
Durango,Norte,52.3,58.9,2.1,2023,T3,2023-T3
Durango,Norte,52.3,58.9,2.0,2023,T4,2023-T4
Durango,Norte,52.3,58.9,2.2,2024,T1,2024-T1
Durango,Norte,52.3,58.9,2.3,2024,T2,2024-T2
Durango,Norte,52.3,58.9,2.2,2024,T3,2024-T3
Durango,Norte,52.3,58.9,3.1,2024,T4,2024-T4
Estado de México,Centro,55.6,58.6,3.8,2020,T1,2020-T1
Estado de México,Centro,55.6,58.6,6.1,2020,T2,2020-T2
Estado de México,Centro,55.6,58.6,5.2,2020,T3,2020-T3
Estado de México,Centro,55.6,58.6,4.5,2020,T4,2020-T4
Estado de México,Centro,55.6,58.6,4.2,2021,T1,2021-T1
Estado de México,Centro,55.6,58.6,3.9,2021,T2,2021-T2
Estado de México,Centro,55.6,58.6,3.6,2021,T3,2021-T3
Estado de México,Centro,55.6,58.6,3.4,2021,T4,2021-T4
Estado de México,Centro,55.6,58.6,3.3,2022,T1,2022-T1
Estado de México,Centro,55.6,58.6,3.2,2022,T2,2022-T2
Estado de México,Centro,55.6,58.6,3.1,2022,T3,2022-T3
Estado de México,Centro,55.6,58.6,3.0,2022,T4,2022-T4
Estado de México,Centro,55.6,58.6,3.1,2023,T1,2023-T1
Estado de México,Centro,55.6,58.6,3.2,2023,T2,2023-T2
Estado de México,Centro,55.6,58.6,3.1,2023,T3,2023-T3
Estado de México,Centro,55.6,58.6,3.0,2023,T4,2023-T4
Estado de México,Centro,55.6,58.6,3.2,2024,T1,2024-T1
Estado de México,Centro,55.6,58.6,3.3,2024,T2,2024-T2
Estado de México,Centro,55.6,58.6,3.2,2024,T3,2024-T3
Estado de México,Centro,55.6,58.6,3.3,2024,T4,2024-T4
Guanajuato,Centro-Norte,52.8,58.4,3.3,2020,T1,2020-T1
Guanajuato,Centro-Norte,52.8,58.4,5.6,2020,T2,2020-T2
Guanajuato,Centro-Norte,52.8,58.4,4.8,2020,T3,2020-T3
Guanajuato,Centro-Norte,52.8,58.4,4.1,2020,T4,2020-T4
Guanajuato,Centro-Norte,52.8,58.4,3.8,2021,T1,2021-T1
Guanajuato,Centro-Norte,52.8,58.4,3.5,2021,T2,2021-T2
Guanajuato,Centro-Norte,52.8,58.4,3.2,2021,T3,2021-T3
Guanajuato,Centro-Norte,52.8,58.4,3.0,2021,T4,2021-T4
Guanajuato,Centro-Norte,52.8,58.4,2.9,2022,T1,2022-T1
Guanajuato,Centro-Norte,52.8,58.4,2.8,2022,T2,2022-T2
Guanajuato,Centro-Norte,52.8,58.4,2.7,2022,T3,2022-T3
Guanajuato,Centro-Norte,52.8,58.4,2.6,2022,T4,2022-T4
Guanajuato,Centro-Norte,52.8,58.4,2.7,2023,T1,2023-T1
Guanajuato,Centro-Norte,52.8,58.4,2.8,2023,T2,2023-T2
Guanajuato,Centro-Norte,52.8,58.4,2.7,2023,T3,2023-T3
Guanajuato,Centro-Norte,52.8,58.4,2.6,2023,T4,2023-T4
Guanajuato,Centro-Norte,52.8,58.4,2.8,2024,T1,2024-T1
Guanajuato,Centro-Norte,52.8,58.4,3.1,2024,T2,2024-T2
Guanajuato,Centro-Norte,52.8,58.4,2.9,2024,T3,2024-T3
Guanajuato,Centro-Norte,52.8,58.4,2.7,2024,T4,2024-T4
Guerrero,Sur-Sureste,81.2,56.8,1.5,2020,T1,2020-T1
Guerrero,Sur-Sureste,81.2,56.8,2.8,2020,T2,2020-T2
Guerrero,Sur-Sureste,81.2,56.8,2.4,2020,T3,2020-T3
Guerrero,Sur-Sureste,81.2,56.8,2.1,2020,T4,2020-T4
Guerrero,Sur-Sureste,81.2,56.8,1.9,2021,T1,2021-T1
Guerrero,Sur-Sureste,81.2,56.8,1.7,2021,T2,2021-T2
Guerrero,Sur-Sureste,81.2,56.8,1.5,2021,T3,2021-T3
Guerrero,Sur-Sureste,81.2,56.8,1.4,2021,T4,2021-T4
Guerrero,Sur-Sureste,81.2,56.8,1.3,2022,T1,2022-T1
Guerrero,Sur-Sureste,81.2,56.8,1.2,2022,T2,2022-T2
Guerrero,Sur-Sureste,81.2,56.8,1.1,2022,T3,2022-T3
Guerrero,Sur-Sureste,81.2,56.8,1.0,2022,T4,2022-T4
Guerrero,Sur-Sureste,81.2,56.8,1.1,2023,T1,2023-T1
Guerrero,Sur-Sureste,81.2,56.8,1.2,2023,T2,2023-T2
Guerrero,Sur-Sureste,81.2,56.8,1.1,2023,T3,2023-T3
Guerrero,Sur-Sureste,81.2,56.8,1.0,2023,T4,2023-T4
Guerrero,Sur-Sureste,81.2,56.8,1.2,2024,T1,2024-T1
Guerrero,Sur-Sureste,81.2,56.8,1.3,2024,T2,2024-T2
Guerrero,Sur-Sureste,81.2,56.8,1.2,2024,T3,2024-T3
Guerrero,Sur-Sureste,81.2,56.8,1.3,2024,T4,2024-T4
Hidalgo,Centro,65.4,57.4,2.8,2020,T1,2020-T1
Hidalgo,Centro,65.4,57.4,4.5,2020,T2,2020-T2
Hidalgo,Centro,65.4,57.4,3.8,2020,T3,2020-T3
Hidalgo,Centro,65.4,57.4,3.3,2020,T4,2020-T4
Hidalgo,Centro,65.4,57.4,3.1,2021,T1,2021-T1
Hidalgo,Centro,65.4,57.4,2.8,2021,T2,2021-T2
Hidalgo,Centro,65.4,57.4,2.5,2021,T3,2021-T3
Hidalgo,Centro,65.4,57.4,2.3,2021,T4,2021-T4
Hidalgo,Centro,65.4,57.4,2.2,2022,T1,2022-T1
Hidalgo,Centro,65.4,57.4,2.1,2022,T2,2022-T2
Hidalgo,Centro,65.4,57.4,2.0,2022,T3,2022-T3
Hidalgo,Centro,65.4,57.4,1.9,2022,T4,2022-T4
Hidalgo,Centro,65.4,57.4,2.0,2023,T1,2023-T1
Hidalgo,Centro,65.4,57.4,2.1,2023,T2,2023-T2
Hidalgo,Centro,65.4,57.4,2.0,2023,T3,2023-T3
Hidalgo,Centro,65.4,57.4,1.9,2023,T4,2023-T4
Hidalgo,Centro,65.4,57.4,2.1,2024,T1,2024-T1
Hidalgo,Centro,65.4,57.4,2.2,2024,T2,2024-T2
Hidalgo,Centro,65.4,57.4,2.1,2024,T3,2024-T3
Hidalgo,Centro,65.4,57.4,2.0,2024,T4,2024-T4
Jalisco,Occidente,44.3,61.2,3.2,2020,T1,2020-T1
Jalisco,Occidente,44.3,61.2,5.4,2020,T2,2020-T2
Jalisco,Occidente,44.3,61.2,4.6,2020,T3,2020-T3
Jalisco,Occidente,44.3,61.2,4.0,2020,T4,2020-T4
Jalisco,Occidente,44.3,61.2,3.7,2021,T1,2021-T1
Jalisco,Occidente,44.3,61.2,3.4,2021,T2,2021-T2
Jalisco,Occidente,44.3,61.2,3.1,2021,T3,2021-T3
Jalisco,Occidente,44.3,61.2,2.9,2021,T4,2021-T4
Jalisco,Occidente,44.3,61.2,2.8,2022,T1,2022-T1
Jalisco,Occidente,44.3,61.2,2.7,2022,T2,2022-T2
Jalisco,Occidente,44.3,61.2,2.6,2022,T3,2022-T3
Jalisco,Occidente,44.3,61.2,2.5,2022,T4,2022-T4
Jalisco,Occidente,44.3,61.2,2.6,2023,T1,2023-T1
Jalisco,Occidente,44.3,61.2,2.7,2023,T2,2023-T2
Jalisco,Occidente,44.3,61.2,2.6,2023,T3,2023-T3
Jalisco,Occidente,44.3,61.2,2.5,2023,T4,2023-T4
Jalisco,Occidente,44.3,61.2,2.7,2024,T1,2024-T1
Jalisco,Occidente,44.3,61.2,2.8,2024,T2,2024-T2
Jalisco,Occidente,44.3,61.2,2.7,2024,T3,2024-T3
Jalisco,Occidente,44.3,61.2,2.6,2024,T4,2024-T4
Michoacán,Occidente,68.9,56.4,1.8,2020,T1,2020-T1
Michoacán,Occidente,68.9,56.4,3.1,2020,T2,2020-T2
Michoacán,Occidente,68.9,56.4,2.6,2020,T3,2020-T3
Michoacán,Occidente,68.9,56.4,2.3,2020,T4,2020-T4
Michoacán,Occidente,68.9,56.4,2.1,2021,T1,2021-T1
Michoacán,Occidente,68.9,56.4,1.9,2021,T2,2021-T2
Michoacán,Occidente,68.9,56.4,1.7,2021,T3,2021-T3
Michoacán,Occidente,68.9,56.4,1.6,2021,T4,2021-T4
Michoacán,Occidente,68.9,56.4,1.5,2022,T1,2022-T1
Michoacán,Occidente,68.9,56.4,1.4,2022,T2,2022-T2
Michoacán,Occidente,68.9,56.4,1.3,2022,T3,2022-T3
Michoacán,Occidente,68.9,56.4,1.2,2022,T4,2022-T4
Michoacán,Occidente,68.9,56.4,1.3,2023,T1,2023-T1
Michoacán,Occidente,68.9,56.4,1.4,2023,T2,2023-T2
Michoacán,Occidente,68.9,56.4,1.3,2023,T3,2023-T3
Michoacán,Occidente,68.9,56.4,1.2,2023,T4,2023-T4
Michoacán,Occidente,68.9,56.4,1.4,2024,T1,2024-T1
Michoacán,Occidente,68.9,56.4,1.5,2024,T2,2024-T2
Michoacán,Occidente,68.9,56.4,1.4,2024,T3,2024-T3
Michoacán,Occidente,68.9,56.4,1.3,2024,T4,2024-T4
Morelos,Centro,58.4,57.8,3.1,2020,T1,2020-T1
Morelos,Centro,58.4,57.8,5.2,2020,T2,2020-T2
Morelos,Centro,58.4,57.8,4.4,2020,T3,2020-T3
Morelos,Centro,58.4,57.8,3.8,2020,T4,2020-T4
Morelos,Centro,58.4,57.8,3.5,2021,T1,2021-T1
Morelos,Centro,58.4,57.8,3.2,2021,T2,2021-T2
Morelos,Centro,58.4,57.8,2.9,2021,T3,2021-T3
Morelos,Centro,58.4,57.8,2.7,2021,T4,2021-T4
Morelos,Centro,58.4,57.8,2.6,2022,T1,2022-T1
Morelos,Centro,58.4,57.8,2.5,2022,T2,2022-T2
Morelos,Centro,58.4,57.8,2.4,2022,T3,2022-T3
Morelos,Centro,58.4,57.8,2.3,2022,T4,2022-T4
Morelos,Centro,58.4,57.8,2.4,2023,T1,2023-T1
Morelos,Centro,58.4,57.8,2.5,2023,T2,2023-T2
Morelos,Centro,58.4,57.8,2.4,2023,T3,2023-T3
Morelos,Centro,58.4,57.8,2.3,2023,T4,2023-T4
Morelos,Centro,58.4,57.8,2.5,2024,T1,2024-T1
Morelos,Centro,58.4,57.8,2.6,2024,T2,2024-T2
Morelos,Centro,58.4,57.8,2.5,2024,T3,2024-T3
Morelos,Centro,58.4,57.8,2.4,2024,T4,2024-T4
Nayarit,Occidente,58.7,66.1,2.5,2020,T1,2020-T1
Nayarit,Occidente,58.7,66.1,4.1,2020,T2,2020-T2
Nayarit,Occidente,58.7,66.1,3.5,2020,T3,2020-T3
Nayarit,Occidente,58.7,66.1,3.1,2020,T4,2020-T4
Nayarit,Occidente,58.7,66.1,2.8,2021,T1,2021-T1
Nayarit,Occidente,58.7,66.1,2.5,2021,T2,2021-T2
Nayarit,Occidente,58.7,66.1,2.3,2021,T3,2021-T3
Nayarit,Occidente,58.7,66.1,2.1,2021,T4,2021-T4
Nayarit,Occidente,58.7,66.1,2.0,2022,T1,2022-T1
Nayarit,Occidente,58.7,66.1,1.9,2022,T2,2022-T2
Nayarit,Occidente,58.7,66.1,1.8,2022,T3,2022-T3
Nayarit,Occidente,58.7,66.1,1.7,2022,T4,2022-T4
Nayarit,Occidente,58.7,66.1,1.8,2023,T1,2023-T1
Nayarit,Occidente,58.7,66.1,1.9,2023,T2,2023-T2
Nayarit,Occidente,58.7,66.1,1.8,2023,T3,2023-T3
Nayarit,Occidente,58.7,66.1,1.7,2023,T4,2023-T4
Nayarit,Occidente,58.7,66.1,1.9,2024,T1,2024-T1
Nayarit,Occidente,58.7,66.1,2.0,2024,T2,2024-T2
Nayarit,Occidente,58.7,66.1,1.9,2024,T3,2024-T3
Nayarit,Occidente,58.7,66.1,1.8,2024,T4,2024-T4
Nuevo León,Norte,32.4,63.4,3.6,2020,T1,2020-T1
Nuevo León,Norte,32.4,63.4,5.9,2020,T2,2020-T2
Nuevo León,Norte,32.4,63.4,5.1,2020,T3,2020-T3
Nuevo León,Norte,32.4,63.4,4.4,2020,T4,2020-T4
Nuevo León,Norte,32.4,63.4,4.1,2021,T1,2021-T1
Nuevo León,Norte,32.4,63.4,3.8,2021,T2,2021-T2
Nuevo León,Norte,32.4,63.4,3.5,2021,T3,2021-T3
Nuevo León,Norte,32.4,63.4,3.3,2021,T4,2021-T4
Nuevo León,Norte,32.4,63.4,3.2,2022,T1,2022-T1
Nuevo León,Norte,32.4,63.4,3.1,2022,T2,2022-T2
Nuevo León,Norte,32.4,63.4,3.0,2022,T3,2022-T3
Nuevo León,Norte,32.4,63.4,2.9,2022,T4,2022-T4
Nuevo León,Norte,32.4,63.4,3.0,2023,T1,2023-T1
Nuevo León,Norte,32.4,63.4,3.1,2023,T2,2023-T2
Nuevo León,Norte,32.4,63.4,3.0,2023,T3,2023-T3
Nuevo León,Norte,32.4,63.4,2.9,2023,T4,2023-T4
Nuevo León,Norte,32.4,63.4,3.1,2024,T1,2024-T1
Nuevo León,Norte,32.4,63.4,3.2,2024,T2,2024-T2
Nuevo León,Norte,32.4,63.4,3.1,2024,T3,2024-T3
Nuevo León,Norte,32.4,63.4,3.0,2024,T4,2024-T4
Oaxaca,Sur-Sureste,79.8,55.8,1.4,2020,T1,2020-T1
Oaxaca,Sur-Sureste,79.8,55.8,2.5,2020,T2,2020-T2
Oaxaca,Sur-Sureste,79.8,55.8,2.1,2020,T3,2020-T3
Oaxaca,Sur-Sureste,79.8,55.8,1.9,2020,T4,2020-T4
Oaxaca,Sur-Sureste,79.8,55.8,1.7,2021,T1,2021-T1
Oaxaca,Sur-Sureste,79.8,55.8,1.5,2021,T2,2021-T2
Oaxaca,Sur-Sureste,79.8,55.8,1.4,2021,T3,2021-T3
Oaxaca,Sur-Sureste,79.8,55.8,1.3,2021,T4,2021-T4
Oaxaca,Sur-Sureste,79.8,55.8,1.2,2022,T1,2022-T1
