entidad,td_2020_T1,td_2020_T2,td_2020_T3,td_2020_T4,td_2021_T1,td_2021_T2,td_2021_T3,td_2021_T4,td_2022_T1,td_2022_T2,td_2022_T3,td_2022_T4,td_2023_T1,td_2023_T2,td_2023_T3,td_2023_T4,td_2024_T1,td_2024_T2,td_2024_T3,td_2024_T4,informalidad_2024,participacion_2024,region
Nuevo León,3.6,5.9,5.1,4.4,4.1,3.8,3.5,3.3,3.2,3.1,3.0,2.9,3.0,3.1,3.0,2.9,3.1,3.2,3.1,3.0,32.4,63.4,Norte
Oaxaca,1.4,2.5,2.1,1.9,1.7,1.5,1.4,1.3,1.2,1.1,1.0,0.9,1.0,1.1,1.0,0.9,1.1,1.2,1.1,1.0,79.8,55.8,Sur-Sureste
Puebla,2.9,4.8,4.1,3.5,3.2,2.9,2.6,2.4,2.3,2.2,2.1,2.0,2.1,2.2,2.1,2.0,2.2,2.3,2.2,2.1,65.2,61.4,Centro
Querétaro,3.4,5.7,4.9,4.2,3.9,3.6,3.3,3.1,3.0,2.9,2.8,2.7,2.8,2.9,2.8,2.7,2.9,3.0,2.9,2.8,42.1,64.3,Centro-Norte
Quintana Roo,3.2,5.3,4.5,3.9,3.6,3.3,3.1,2.9,2.8,2.7,2.6,2.5,2.6,2.7,2.6,2.5,2.7,2.8,2.7,2.6,44.6,66.7,Sur-Sureste
San Luis Potosí,2.8,4.6,3.9,3.4,3.1,2.8,2.6,2.4,2.3,2.2,2.1,2.0,2.1,2.2,2.1,2.0,2.2,2.3,2.2,3.2,58.9,59.8,Centro-Norte
Sinaloa,2.6,4.3,3.7,3.2,2.9,2.6,2.4,2.2,2.1,2.0,1.9,1.8,1.9,2.0,1.9,1.8,2.0,2.1,2.0,1.9,51.2,60.4,Norte
Sonora,3.5,5.8,4.9,4.2,3.9,3.6,3.3,3.1,3.0,2.9,2.8,2.7,2.8,2.9,2.8,2.7,2.9,3.6,3.2,2.8,38.7,62.5,Norte
Tabasco,4.2,6.8,5.8,5.1,4.7,4.4,4.1,3.8,3.7,3.6,3.5,3.4,3.6,3.8,3.7,3.6,3.8,4.0,3.9,4.1,55.8,58.2,Sur-Sureste
Tamaulipas,3.4,5.6,4.8,4.2,3.8,3.5,3.2,3.0,2.9,2.8,2.7,2.6,2.7,2.8,2.7,2.6,2.8,3.4,3.2,3.1,42.3,60.1,Norte
Tlaxcala,3.1,5.1,4.3,3.7,3.4,3.1,2.8,2.6,2.5,2.4,2.3,2.2,2.3,2.4,2.3,2.2,2.4,2.5,2.4,2.3,62.4,61.4,Centro
Veracruz,2.3,3.9,3.3,2.9,2.6,2.3,2.1,1.9,1.8,1.7,1.6,1.5,1.6,1.7,1.6,1.5,1.7,1.8,1.7,1.6,67.8,58.6,Sur-Sureste
Yucatán,2.1,3.5,2.9,2.6,2.3,2.1,1.9,1.7,1.6,1.5,1.4,1.3,1.4,1.5,1.4,1.3,1.5,1.6,1.5,1.4,48.9,65.8,Sur-Sureste
Zacatecas,2.7,4.4,3.7,3.2,2.9,2.6,2.4,2.2,2.1,2.0,1.9,1.8,1.9,2.0,1.9,1.8,2.0,3.1,2.8,2.7,58.4,57.2,Centro-Norte
